Sun Apr 22 12:00:39 2012 : [46671] Risan: -> aedit   437: builder risan
Sun Apr 22 12:01:41 2012 : [46671] Risan: -> redit 46671: north delete
Sun Apr 22 12:01:41 2012 : [46672] Risan: -> redit 46672: north delete
Sun Apr 22 12:01:41 2012 : [46673] Risan: -> redit 46673: north delete
Sun Apr 22 12:01:41 2012 : [46674] Risan: -> redit 46674: north delete
Sun Apr 22 12:01:41 2012 : [46675] Risan: -> redit 46675: north delete
Sun Apr 22 12:01:41 2012 : [46676] Risan: -> redit 46676: north delete
Sun Apr 22 12:01:41 2012 : [46677] Risan: -> redit 46677: north delete
Sun Apr 22 12:01:41 2012 : [46678] Risan: -> redit 46678: north delete
Sun Apr 22 12:01:41 2012 : [46679] Risan: -> redit 46679: north delete
Sun Apr 22 12:01:41 2012 : [46680] Risan: -> redit 46680: north delete
Sun Apr 22 12:01:41 2012 : [46681] Risan: -> redit 46681: north delete
Sun Apr 22 12:01:41 2012 : [46686] Risan: -> redit 46686: north delete
Sun Apr 22 12:01:41 2012 : [46687] Risan: -> redit 46687: north delete
Sun Apr 22 12:01:41 2012 : [46688] Risan: -> redit 46688: north delete
Sun Apr 22 12:01:41 2012 : [46689] Risan: -> redit 46689: north delete
Sun Apr 22 12:01:41 2012 : [46690] Risan: -> redit 46690: north delete
Sun Apr 22 12:01:41 2012 : [46691] Risan: -> redit 46691: north delete
Sun Apr 22 12:01:41 2012 : [46692] Risan: -> redit 46692: north delete
Sun Apr 22 12:01:41 2012 : [46693] Risan: -> redit 46693: north delete
Sun Apr 22 12:01:41 2012 : [46694] Risan: -> redit 46694: north delete
Sun Apr 22 12:01:41 2012 : [46695] Risan: -> redit 46695: north delete
Sun Apr 22 12:01:41 2012 : [46707] Risan: -> redit 46707: north delete
Sun Apr 22 12:01:41 2012 : [46708] Risan: -> redit 46708: north delete
Sun Apr 22 12:01:41 2012 : [46709] Risan: -> redit 46709: north delete
Sun Apr 22 12:01:41 2012 : [46710] Risan: -> redit 46710: north delete
Sun Apr 22 12:01:41 2012 : [46711] Risan: -> redit 46711: north delete
Sun Apr 22 12:01:41 2012 : [46712] Risan: -> redit 46712: north delete
Sun Apr 22 12:01:41 2012 : [46713] Risan: -> redit 46713: north delete
Sun Apr 22 12:01:41 2012 : [46714] Risan: -> redit 46714: north delete
Sun Apr 22 12:01:41 2012 : [46715] Risan: -> redit 46715: north delete
Sun Apr 22 12:01:41 2012 : [46716] Risan: -> redit 46716: north delete
Sun Apr 22 12:01:41 2012 : [46722] Risan: -> redit 46722: north delete
Sun Apr 22 12:01:41 2012 : [46724] Risan: -> redit 46724: north delete
Sun Apr 22 12:01:41 2012 : [46725] Risan: -> redit 46725: north delete
Sun Apr 22 12:01:41 2012 : [46727] Risan: -> redit 46727: north delete
Sun Apr 22 12:01:41 2012 : [46728] Risan: -> redit 46728: north delete
Sun Apr 22 12:01:41 2012 : [46729] Risan: -> redit 46729: north delete
Sun Apr 22 12:01:41 2012 : [46730] Risan: -> redit 46730: north delete
Sun Apr 22 12:01:41 2012 : [46731] Risan: -> redit 46731: north delete
Sun Apr 22 12:01:41 2012 : [46733] Risan: -> redit 46733: north delete
Sun Apr 22 12:01:41 2012 : [46736] Risan: -> redit 46736: north delete
Sun Apr 22 12:01:41 2012 : [46737] Risan: -> redit 46737: north delete
Sun Apr 22 12:01:41 2012 : [46738] Risan: -> redit 46738: north delete
Sun Apr 22 12:01:41 2012 : [46739] Risan: -> redit 46739: north delete
Sun Apr 22 12:01:41 2012 : [46740] Risan: -> redit 46740: north delete
Sun Apr 22 12:01:41 2012 : [46743] Risan: -> redit 46743: north delete
Sun Apr 22 12:01:41 2012 : [46745] Risan: -> redit 46745: north delete
Sun Apr 22 12:01:41 2012 : [46748] Risan: -> redit 46748: north delete
Sun Apr 22 12:01:41 2012 : [46752] Risan: -> redit 46752: north delete
Sun Apr 22 12:01:41 2012 : [46754] Risan: -> redit 46754: north delete
Sun Apr 22 12:01:41 2012 : [46755] Risan: -> redit 46755: north delete
Sun Apr 22 12:01:41 2012 : [46756] Risan: -> redit 46756: north delete
Sun Apr 22 12:01:41 2012 : [46757] Risan: -> redit 46757: north delete
Sun Apr 22 12:01:41 2012 : [46758] Risan: -> redit 46758: north delete
Sun Apr 22 12:01:41 2012 : [46759] Risan: -> redit 46759: north delete
Sun Apr 22 12:01:41 2012 : [46760] Risan: -> redit 46760: north delete
Sun Apr 22 12:01:41 2012 : [46762] Risan: -> redit 46762: north delete
Sun Apr 22 12:01:41 2012 : [46764] Risan: -> redit 46764: north delete
Sun Apr 22 12:01:41 2012 : [46767] Risan: -> redit 46767: north delete
Sun Apr 22 12:01:41 2012 : [46771] Risan: -> redit 46771: north delete
Sun Apr 22 12:01:41 2012 : [46774] Risan: -> redit 46774: north delete
Sun Apr 22 12:01:41 2012 : [46776] Risan: -> redit 46776: north delete
Sun Apr 22 12:01:41 2012 : [46777] Risan: -> redit 46777: north delete
Sun Apr 22 12:01:41 2012 : [46778] Risan: -> redit 46778: north delete
Sun Apr 22 12:01:41 2012 : [46779] Risan: -> redit 46779: north delete
Sun Apr 22 12:01:41 2012 : [46780] Risan: -> redit 46780: north delete
Sun Apr 22 12:01:41 2012 : [46781] Risan: -> redit 46781: north delete
Sun Apr 22 12:01:41 2012 : [46782] Risan: -> redit 46782: north delete
Sun Apr 22 12:01:41 2012 : [46783] Risan: -> redit 46783: north delete
Sun Apr 22 12:01:41 2012 : [46784] Risan: -> redit 46784: north delete
Sun Apr 22 12:01:41 2012 : [46785] Risan: -> redit 46785: north delete
Sun Apr 22 12:01:41 2012 : [46787] Risan: -> redit 46787: north delete
Sun Apr 22 12:01:41 2012 : [46792] Risan: -> redit 46792: north delete
Sun Apr 22 12:01:41 2012 : [46794] Risan: -> redit 46794: north delete
Sun Apr 22 12:01:41 2012 : [46796] Risan: -> redit 46796: north delete
Sun Apr 22 12:01:41 2012 : [46798] Risan: -> redit 46798: north delete
Sun Apr 22 12:01:41 2012 : [46800] Risan: -> redit 46800: north delete
Sun Apr 22 12:01:41 2012 : [46807] Risan: -> redit 46807: north delete
Sun Apr 22 12:01:41 2012 : [46808] Risan: -> redit 46808: north delete
Sun Apr 22 12:01:41 2012 : [46811] Risan: -> redit 46811: north delete
Sun Apr 22 12:01:41 2012 : [46813] Risan: -> redit 46813: north delete
Sun Apr 22 12:01:41 2012 : [46821] Risan: -> redit 46821: north delete
Sun Apr 22 12:01:41 2012 : [46822] Risan: -> redit 46822: north delete
Sun Apr 22 12:01:41 2012 : [46823] Risan: -> redit 46823: north delete
Sun Apr 22 12:01:41 2012 : [46824] Risan: -> redit 46824: north delete
Sun Apr 22 12:01:41 2012 : [46827] Risan: -> redit 46827: north delete
Sun Apr 22 12:01:41 2012 : [46828] Risan: -> redit 46828: north delete
Sun Apr 22 12:01:41 2012 : [46831] Risan: -> redit 46831: north delete
Sun Apr 22 12:01:41 2012 : [46832] Risan: -> redit 46832: north delete
Sun Apr 22 12:01:41 2012 : [46833] Risan: -> redit 46833: north delete
Sun Apr 22 12:01:41 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 north delete
Sun Apr 22 12:01:55 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 south delete
Sun Apr 22 12:02:00 2012 : [46677] Risan: -> redit 46677: east delete
Sun Apr 22 12:02:00 2012 : [46678] Risan: -> redit 46678: east delete
Sun Apr 22 12:02:00 2012 : [46679] Risan: -> redit 46679: east delete
Sun Apr 22 12:02:00 2012 : [46681] Risan: -> redit 46681: east delete
Sun Apr 22 12:02:00 2012 : [46682] Risan: -> redit 46682: east delete
Sun Apr 22 12:02:00 2012 : [46683] Risan: -> redit 46683: east delete
Sun Apr 22 12:02:00 2012 : [46684] Risan: -> redit 46684: east delete
Sun Apr 22 12:02:00 2012 : [46685] Risan: -> redit 46685: east delete
Sun Apr 22 12:02:00 2012 : [46686] Risan: -> redit 46686: east delete
Sun Apr 22 12:02:00 2012 : [46696] Risan: -> redit 46696: east delete
Sun Apr 22 12:02:00 2012 : [46697] Risan: -> redit 46697: east delete
Sun Apr 22 12:02:00 2012 : [46698] Risan: -> redit 46698: east delete
Sun Apr 22 12:02:00 2012 : [46699] Risan: -> redit 46699: east delete
Sun Apr 22 12:02:00 2012 : [46700] Risan: -> redit 46700: east delete
Sun Apr 22 12:02:00 2012 : [46701] Risan: -> redit 46701: east delete
Sun Apr 22 12:02:00 2012 : [46702] Risan: -> redit 46702: east delete
Sun Apr 22 12:02:00 2012 : [46703] Risan: -> redit 46703: east delete
Sun Apr 22 12:02:00 2012 : [46704] Risan: -> redit 46704: east delete
Sun Apr 22 12:02:00 2012 : [46705] Risan: -> redit 46705: east delete
Sun Apr 22 12:02:00 2012 : [46709] Risan: -> redit 46709: east delete
Sun Apr 22 12:02:00 2012 : [46715] Risan: -> redit 46715: east delete
Sun Apr 22 12:02:00 2012 : [46717] Risan: -> redit 46717: east delete
Sun Apr 22 12:02:00 2012 : [46718] Risan: -> redit 46718: east delete
Sun Apr 22 12:02:00 2012 : [46719] Risan: -> redit 46719: east delete
Sun Apr 22 12:02:00 2012 : [46720] Risan: -> redit 46720: east delete
Sun Apr 22 12:02:00 2012 : [46722] Risan: -> redit 46722: east delete
Sun Apr 22 12:02:00 2012 : [46723] Risan: -> redit 46723: east delete
Sun Apr 22 12:02:00 2012 : [46725] Risan: -> redit 46725: east delete
Sun Apr 22 12:02:00 2012 : [46726] Risan: -> redit 46726: east delete
Sun Apr 22 12:02:00 2012 : [46727] Risan: -> redit 46727: east delete
Sun Apr 22 12:02:00 2012 : [46732] Risan: -> redit 46732: east delete
Sun Apr 22 12:02:00 2012 : [46733] Risan: -> redit 46733: east delete
Sun Apr 22 12:02:00 2012 : [46734] Risan: -> redit 46734: east delete
Sun Apr 22 12:02:00 2012 : [46735] Risan: -> redit 46735: east delete
Sun Apr 22 12:02:00 2012 : [46736] Risan: -> redit 46736: east delete
Sun Apr 22 12:02:00 2012 : [46737] Risan: -> redit 46737: east delete
Sun Apr 22 12:02:00 2012 : [46738] Risan: -> redit 46738: east delete
Sun Apr 22 12:02:00 2012 : [46739] Risan: -> redit 46739: east delete
Sun Apr 22 12:02:00 2012 : [46742] Risan: -> redit 46742: east delete
Sun Apr 22 12:02:00 2012 : [46743] Risan: -> redit 46743: east delete
Sun Apr 22 12:02:00 2012 : [46749] Risan: -> redit 46749: east delete
Sun Apr 22 12:02:00 2012 : [46750] Risan: -> redit 46750: east delete
Sun Apr 22 12:02:00 2012 : [46751] Risan: -> redit 46751: east delete
Sun Apr 22 12:02:00 2012 : [46761] Risan: -> redit 46761: east delete
Sun Apr 22 12:02:00 2012 : [46762] Risan: -> redit 46762: east delete
Sun Apr 22 12:02:00 2012 : [46763] Risan: -> redit 46763: east delete
Sun Apr 22 12:02:00 2012 : [46764] Risan: -> redit 46764: east delete
Sun Apr 22 12:02:00 2012 : [46765] Risan: -> redit 46765: east delete
Sun Apr 22 12:02:00 2012 : [46766] Risan: -> redit 46766: east delete
Sun Apr 22 12:02:00 2012 : [46767] Risan: -> redit 46767: east delete
Sun Apr 22 12:02:00 2012 : [46768] Risan: -> redit 46768: east delete
Sun Apr 22 12:02:00 2012 : [46769] Risan: -> redit 46769: east delete
Sun Apr 22 12:02:00 2012 : [46771] Risan: -> redit 46771: east delete
Sun Apr 22 12:02:00 2012 : [46772] Risan: -> redit 46772: east delete
Sun Apr 22 12:02:00 2012 : [46773] Risan: -> redit 46773: east delete
Sun Apr 22 12:02:00 2012 : [46774] Risan: -> redit 46774: east delete
Sun Apr 22 12:02:00 2012 : [46780] Risan: -> redit 46780: east delete
Sun Apr 22 12:02:00 2012 : [46786] Risan: -> redit 46786: east delete
Sun Apr 22 12:02:00 2012 : [46787] Risan: -> redit 46787: east delete
Sun Apr 22 12:02:00 2012 : [46788] Risan: -> redit 46788: east delete
Sun Apr 22 12:02:00 2012 : [46790] Risan: -> redit 46790: east delete
Sun Apr 22 12:02:00 2012 : [46791] Risan: -> redit 46791: east delete
Sun Apr 22 12:02:00 2012 : [46792] Risan: -> redit 46792: east delete
Sun Apr 22 12:02:00 2012 : [46793] Risan: -> redit 46793: east delete
Sun Apr 22 12:02:00 2012 : [46796] Risan: -> redit 46796: east delete
Sun Apr 22 12:02:00 2012 : [46797] Risan: -> redit 46797: east delete
Sun Apr 22 12:02:00 2012 : [46801] Risan: -> redit 46801: east delete
Sun Apr 22 12:02:00 2012 : [46802] Risan: -> redit 46802: east delete
Sun Apr 22 12:02:00 2012 : [46805] Risan: -> redit 46805: east delete
Sun Apr 22 12:02:00 2012 : [46808] Risan: -> redit 46808: east delete
Sun Apr 22 12:02:00 2012 : [46809] Risan: -> redit 46809: east delete
Sun Apr 22 12:02:00 2012 : [46810] Risan: -> redit 46810: east delete
Sun Apr 22 12:02:00 2012 : [46813] Risan: -> redit 46813: east delete
Sun Apr 22 12:02:00 2012 : [46814] Risan: -> redit 46814: east delete
Sun Apr 22 12:02:00 2012 : [46816] Risan: -> redit 46816: east delete
Sun Apr 22 12:02:00 2012 : [46824] Risan: -> redit 46824: east delete
Sun Apr 22 12:02:00 2012 : [46826] Risan: -> redit 46826: east delete
Sun Apr 22 12:02:00 2012 : [46828] Risan: -> redit 46828: east delete
Sun Apr 22 12:02:00 2012 : [46830] Risan: -> redit 46830: east delete
Sun Apr 22 12:02:00 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 east delete
Sun Apr 22 12:02:04 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 west delete
Sun Apr 22 12:02:08 2012 : [46746] Risan: -> redit 46746: down delete
Sun Apr 22 12:02:08 2012 : [46780] Risan: -> redit 46780: down delete
Sun Apr 22 12:02:08 2012 : [46796] Risan: -> redit 46796: down delete
Sun Apr 22 12:02:08 2012 : [46814] Risan: -> redit 46814: down delete
Sun Apr 22 12:02:08 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 down delete
Sun Apr 22 12:02:15 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 up delete
Sun Apr 22 12:03:36 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:39 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:40 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:46 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:47 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:47 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:47 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:47 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:48 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:48 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:48 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:49 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:49 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:49 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:03:49 2012 : [46671] Risan: -> redit 46671: forroom 46671 47000 reset 1 delete
Sun Apr 22 12:13:15 2012 : [46599] Annor: -> mpedit 46598: code
Sun Apr 22 18:27:56 2012 : [60221] Horg: -> redit 60221: room light
Sun Apr 22 18:27:58 2012 : [60221] Horg: -> redit 60221: room soli
