Wed Apr 10 06:04:08 2013 : [68500] Annor: -> aedit   555: vnum 67385 70000
Wed Apr 10 06:15:49 2013 : [68559] Annor: -> redit 68559: eas link 68558
Wed Apr 10 06:16:04 2013 : [68551] Annor: -> redit 68551: wes link 68558
Wed Apr 10 06:16:14 2013 : [68559] Annor: -> redit 68559: wes link 68560
Wed Apr 10 06:16:18 2013 : [68560] Annor: -> redit 68560: wes link 68561
Wed Apr 10 06:16:21 2013 : [68561] Annor: -> redit 68561: wes link 68562
Wed Apr 10 06:16:25 2013 : [68562] Annor: -> redit 68562: wes link 68563
Wed Apr 10 06:16:28 2013 : [68563] Annor: -> redit 68563: wes link 68564
Wed Apr 10 06:16:32 2013 : [68564] Annor: -> redit 68564: wes link 68565
Wed Apr 10 06:16:35 2013 : [68565] Annor: -> redit 68565: wes link 68566
Wed Apr 10 06:16:38 2013 : [68566] Annor: -> redit 68566: wes link 68567
Wed Apr 10 06:16:43 2013 : [68567] Annor: -> redit 68567: wes link 68568
Wed Apr 10 06:16:50 2013 : [68568] Annor: -> redit 68568: wes link 68569
Wed Apr 10 06:16:57 2013 : [68569] Annor: -> redit 68569: wes link 68570
Wed Apr 10 06:17:01 2013 : [68570] Annor: -> redit 68570: wes link 68571
Wed Apr 10 06:17:04 2013 : [68571] Annor: -> redit 68571: wes link 68572
Wed Apr 10 06:17:07 2013 : [68572] Annor: -> redit 68572: wes link 68573
Wed Apr 10 06:17:15 2013 : [68573] Annor: -> redit 68573: wes link 68574
Wed Apr 10 06:17:19 2013 : [68574] Annor: -> redit 68574: wes link 68575
Wed Apr 10 06:17:23 2013 : [68575] Annor: -> redit 68575: wes link 68576
Wed Apr 10 06:17:28 2013 : [68576] Annor: -> redit 68576: wes link 68577
Wed Apr 10 06:17:32 2013 : [68577] Annor: -> redit 68577: wes link 68578
Wed Apr 10 06:17:37 2013 : [68578] Annor: -> redit 68578: wes link 68579
Wed Apr 10 06:17:42 2013 : [68579] Annor: -> redit 68579: wes link 68580
Wed Apr 10 06:17:49 2013 : [68580] Annor: -> redit 68580: wes link 68581
Wed Apr 10 06:18:00 2013 : [68582] Annor: -> redit 68582: eas link 68581
Wed Apr 10 06:18:14 2013 : [68583] Annor: -> redit 68583: eas link 68582
Wed Apr 10 06:18:23 2013 : [68584] Annor: -> redit 68584: eas link 68583
Wed Apr 10 06:33:47 2013 : [68582] Annor: -> redit 68582: nor dig 68591
Wed Apr 10 06:33:55 2013 : [68591] Annor: -> redit 68591: nor dig 68592
Wed Apr 10 06:34:03 2013 : [68592] Annor: -> redit 68592: nor dig 68593
Wed Apr 10 06:34:11 2013 : [68593] Annor: -> redit 68593: nor dig 68594
Wed Apr 10 06:34:16 2013 : [68594] Annor: -> redit 68594: nor dig 68595
Wed Apr 10 06:34:22 2013 : [68595] Annor: -> redit 68595: nor dig 68596
Wed Apr 10 06:34:29 2013 : [68596] Annor: -> redit 68596: nor dig 68597
Wed Apr 10 06:34:42 2013 : [68597] Annor: -> redit 68597: nor dig 68598
Wed Apr 10 06:34:47 2013 : [68598] Annor: -> redit 68598: nor dig 68599
Wed Apr 10 06:34:52 2013 : [68599] Annor: -> redit 68599: nor dig 68600
Wed Apr 10 06:34:56 2013 : [68600] Annor: -> redit 68600: nor dig 68601
Wed Apr 10 06:35:01 2013 : [68601] Annor: -> redit 68601: nor dig 68602
Wed Apr 10 06:35:05 2013 : [68602] Annor: -> redit 68602: nor dig 68603
Wed Apr 10 06:35:12 2013 : [68603] Annor: -> redit 68603: nor dig 68604
Wed Apr 10 06:35:15 2013 : [68604] Annor: -> redit 68604: nor dig 68605
Wed Apr 10 06:35:20 2013 : [68605] Annor: -> redit 68605: nor dig 68606
Wed Apr 10 06:35:24 2013 : [68606] Annor: -> redit 68606: nor dig 68607
Wed Apr 10 06:35:29 2013 : [68607] Annor: -> redit 68607: nor dig 68608
Wed Apr 10 06:35:33 2013 : [68608] Annor: -> redit 68608: nor dig 68609
Wed Apr 10 06:35:40 2013 : [68609] Annor: -> redit 68609: nor dig 68610
Wed Apr 10 06:35:46 2013 : [68610] Annor: -> redit 68610: nor dig 68611
Wed Apr 10 06:35:52 2013 : [68611] Annor: -> redit 68611: nor dig 68612
Wed Apr 10 06:35:56 2013 : [68612] Annor: -> redit 68612: nor dig 68613
Wed Apr 10 06:36:05 2013 : [68613] Annor: -> redit 68613: nor dig 68613
Wed Apr 10 06:36:09 2013 : [68613] Annor: -> redit 68613: nor dig 68614
Wed Apr 10 06:36:16 2013 : [68614] Annor: -> redit 68614: nor dig 68615
Wed Apr 10 06:39:36 2013 : [68615] Annor: -> redit 68615: nor dig 68616
Wed Apr 10 06:39:40 2013 : [68616] Annor: -> redit 68616: nor dig 68617
Wed Apr 10 06:39:44 2013 : [68617] Annor: -> redit 68617: nor dig 68618
Wed Apr 10 06:39:48 2013 : [68618] Annor: -> redit 68618: nor dig 68619
Wed Apr 10 06:39:53 2013 : [68619] Annor: -> redit 68619: nor dig 68620
Wed Apr 10 06:39:59 2013 : [68620] Annor: -> redit 68620: nor dig 68622
Wed Apr 10 06:40:02 2013 : [68620] Annor: -> redit 68620: nor delete
Wed Apr 10 06:40:09 2013 : [68620] Annor: -> redit 68620: nor dig 68621
Wed Apr 10 06:40:12 2013 : [68621] Annor: -> redit 68621: nor dig 68622
Wed Apr 10 06:40:16 2013 : [68622] Annor: -> redit 68622: nor dig 68623
Wed Apr 10 06:40:19 2013 : [68623] Annor: -> redit 68623: nor dig 68624
Wed Apr 10 06:40:23 2013 : [68624] Annor: -> redit 68624: nor dig 68625
Wed Apr 10 06:40:28 2013 : [68625] Annor: -> redit 68625: nor dig 68626
Wed Apr 10 06:40:31 2013 : [68626] Annor: -> redit 68626: nor dig 68627
Wed Apr 10 06:40:36 2013 : [68627] Annor: -> redit 68627: nor dig 68628
Wed Apr 10 06:40:40 2013 : [68628] Annor: -> redit 68628: nor dig 68629
Wed Apr 10 06:40:44 2013 : [68629] Annor: -> redit 68629: nor dig 68630
Wed Apr 10 06:40:49 2013 : [68630] Annor: -> redit 68630: nor dig 68631
Wed Apr 10 06:40:52 2013 : [68631] Annor: -> redit 68631: nor dig 68632
Wed Apr 10 06:40:56 2013 : [68632] Annor: -> redit 68632: nor dig 68633
Wed Apr 10 06:40:59 2013 : [68633] Annor: -> redit 68633: nor dig 68634
Wed Apr 10 06:41:03 2013 : [68634] Annor: -> redit 68634: nor dig 68635
Wed Apr 10 06:41:07 2013 : [68635] Annor: -> redit 68635: nor dig 68636
Wed Apr 10 06:41:12 2013 : [68636] Annor: -> redit 68636: nor dig 68637
Wed Apr 10 06:41:16 2013 : [68637] Annor: -> redit 68637: nor dig 68638
Wed Apr 10 06:41:20 2013 : [68638] Annor: -> redit 68638: nor dig 68639
Wed Apr 10 06:41:25 2013 : [68639] Annor: -> redit 68639: nor dig 68640
Wed Apr 10 06:41:29 2013 : [68640] Annor: -> redit 68640: nor dig 68641
Wed Apr 10 06:41:33 2013 : [68641] Annor: -> redit 68641: nor dig 68642
Wed Apr 10 06:41:37 2013 : [68642] Annor: -> redit 68642: nor dig 68643
Wed Apr 10 06:41:40 2013 : [68643] Annor: -> redit 68643: nor dig 68644
Wed Apr 10 06:41:44 2013 : [68644] Annor: -> redit 68644: nor dig 68645
Wed Apr 10 06:41:48 2013 : [68645] Annor: -> redit 68645: nor dig 68646
Wed Apr 10 06:41:51 2013 : [68646] Annor: -> redit 68646: nor dig 68647
Wed Apr 10 06:51:16 2013 : [68588] Annor: -> redit 68588: sou link 68583
Wed Apr 10 06:51:28 2013 : [68588] Annor: -> redit 68588: eas link 68591
Wed Apr 10 06:51:32 2013 : [68589] Annor: -> redit 68589: eas link 68592
Wed Apr 10 06:51:36 2013 : [68590] Annor: -> redit 68590: eas link 68593
Wed Apr 10 06:52:21 2013 : [68597] Annor: -> redit 68597: wes dig 68648
Wed Apr 10 06:52:26 2013 : [68598] Annor: -> redit 68598: wes dig 68649
Wed Apr 10 06:52:30 2013 : [68599] Annor: -> redit 68599: wes dig 68650
Wed Apr 10 06:52:33 2013 : [68600] Annor: -> redit 68600: wes dig 68651
Wed Apr 10 06:52:37 2013 : [68601] Annor: -> redit 68601: wes dig 68652
Wed Apr 10 06:52:40 2013 : [68602] Annor: -> redit 68602: wes dig 68653
Wed Apr 10 06:52:43 2013 : [68603] Annor: -> redit 68603: wes dig 68654
Wed Apr 10 06:52:57 2013 : [68654] Annor: -> redit 68654: sou link 68654
Wed Apr 10 06:53:14 2013 : [68654] Annor: -> redit 68654: nor delete
Wed Apr 10 06:53:18 2013 : [68654] Annor: -> redit 68654: sou link 68653
Wed Apr 10 06:53:24 2013 : [68653] Annor: -> redit 68653: sou link 68652
Wed Apr 10 06:53:27 2013 : [68652] Annor: -> redit 68652: sou link 68651
Wed Apr 10 06:53:31 2013 : [68651] Annor: -> redit 68651: sou link 68650
Wed Apr 10 06:53:36 2013 : [68650] Annor: -> redit 68650: sou link 68649
Wed Apr 10 06:53:40 2013 : [68649] Annor: -> redit 68649: sou link 68648
Wed Apr 10 06:56:20 2013 : [68606] Annor: -> redit 68606: wes dig 68655
Wed Apr 10 06:56:26 2013 : [68607] Annor: -> redit 68607: wes dig 68656
Wed Apr 10 06:56:29 2013 : [68608] Annor: -> redit 68608: wes dig 68657
Wed Apr 10 06:56:34 2013 : [68609] Annor: -> redit 68609: wes dig 68658
Wed Apr 10 06:56:37 2013 : [68610] Annor: -> redit 68610: wes dig 68659
Wed Apr 10 06:56:42 2013 : [68611] Annor: -> redit 68611: wes dig 68660
Wed Apr 10 06:56:45 2013 : [68612] Annor: -> redit 68612: wes dig 68661
Wed Apr 10 06:56:48 2013 : [68613] Annor: -> redit 68613: wes dig 68662
Wed Apr 10 06:56:51 2013 : [68614] Annor: -> redit 68614: wes dig 68663
Wed Apr 10 06:56:55 2013 : [68615] Annor: -> redit 68615: wes dig 68664
Wed Apr 10 06:56:57 2013 : [68616] Annor: -> redit 68616: wes dig 68665
Wed Apr 10 06:57:01 2013 : [68617] Annor: -> redit 68617: wes dig 68666
Wed Apr 10 06:57:07 2013 : [68618] Annor: -> redit 68618: wes dig 68667
Wed Apr 10 06:57:11 2013 : [68619] Annor: -> redit 68619: wes dig 68668
Wed Apr 10 06:57:15 2013 : [68620] Annor: -> redit 68620: wes dig 68669
Wed Apr 10 06:57:21 2013 : [68621] Annor: -> redit 68621: wes dig 68670
Wed Apr 10 06:57:25 2013 : [68622] Annor: -> redit 68622: wes dig 68671
Wed Apr 10 06:57:35 2013 : [68623] Annor: -> redit 68623: wes dig 68672
Wed Apr 10 06:57:39 2013 : [68624] Annor: -> redit 68624: wes dig 68673
Wed Apr 10 06:57:42 2013 : [68625] Annor: -> redit 68625: wes dig 68674
Wed Apr 10 06:57:46 2013 : [68626] Annor: -> redit 68626: wes dig 68675
Wed Apr 10 06:57:50 2013 : [68627] Annor: -> redit 68627: wes dig 68676
Wed Apr 10 06:57:58 2013 : [68628] Annor: -> redit 68628: wes dig 68677
Wed Apr 10 06:58:02 2013 : [68629] Annor: -> redit 68629: wes dig 68678
Wed Apr 10 06:58:05 2013 : [68630] Annor: -> redit 68630: wes dig 68679
Wed Apr 10 06:58:10 2013 : [68631] Annor: -> redit 68631: wes dig 68680
Wed Apr 10 06:58:15 2013 : [68632] Annor: -> redit 68632: wes dig 68681
Wed Apr 10 06:58:18 2013 : [68633] Annor: -> redit 68633: wes dig 68682
Wed Apr 10 06:58:21 2013 : [68634] Annor: -> redit 68634: wes dig 68683
Wed Apr 10 06:58:24 2013 : [68635] Annor: -> redit 68635: wes dig 68684
Wed Apr 10 06:58:27 2013 : [68636] Annor: -> redit 68636: wes dig 68685
Wed Apr 10 06:58:30 2013 : [68637] Annor: -> redit 68637: wes dig 68686
Wed Apr 10 06:58:33 2013 : [68638] Annor: -> redit 68638: wes dig 68687
Wed Apr 10 06:58:36 2013 : [68639] Annor: -> redit 68639: wes dig 68688
Wed Apr 10 06:58:40 2013 : [68640] Annor: -> redit 68640: wes dig 68689
Wed Apr 10 06:58:45 2013 : [68641] Annor: -> redit 68641: wes dig 68690
Wed Apr 10 06:58:52 2013 : [68642] Annor: -> redit 68642: wes dig 68691
Wed Apr 10 06:58:55 2013 : [68643] Annor: -> redit 68643: wes dig 68692
