Wed Jan 11 12:29:57 2012 : [43472] Karlam: -> oedit 43477: v1 4
Wed Jan 11 12:30:07 2012 : [43472] Karlam: -> oedit 43477: v2 25
Wed Jan 11 12:30:21 2012 : [43472] Karlam: -> oedit 43477: v3 3
Wed Jan 11 12:31:23 2012 : [43472] Karlam: -> oedit 43472: v4 two
Wed Jan 11 12:31:30 2012 : [43472] Karlam: -> oedit 43472: v4 pri
Wed Jan 11 12:32:30 2012 : [43472] Karlam: -> opedit str_skrzynia: code
Wed Jan 11 12:34:00 2012 : [43472] Karlam: -> opedit str_skrzynia: code
Wed Jan 11 15:36:17 2012 : [  584] Gurthg: -> oedit  3711: v2 4
Wed Jan 11 15:40:40 2012 : [  584] Gurthg: -> oedit 24974: rodzaj mêski
Wed Jan 11 19:17:16 2012 : [    9] Karlam: -> aedit     2: builder khannan
Wed Jan 11 19:18:19 2012 : [    9] Karlam: -> aedit     6: builder vanion
Wed Jan 11 19:19:12 2012 : [    9] Karlam: -> aedit    14: builder brohacz
Wed Jan 11 19:19:21 2012 : [    9] Karlam: -> aedit    14: builder brohacz Waghar
Wed Jan 11 19:19:27 2012 : [    9] Karlam: -> aedit    14: builder brohacz Waghar
Wed Jan 11 19:19:35 2012 : [    9] Karlam: -> aedit    14: builder Waghar
Wed Jan 11 19:20:32 2012 : [    9] Karlam: -> aedit    19: builder sbrock
Wed Jan 11 19:20:37 2012 : [    9] Karlam: -> aedit    19: builder sbrock
Wed Jan 11 19:20:40 2012 : [    9] Karlam: -> aedit    19: builder brock
Wed Jan 11 19:20:58 2012 : [    9] Karlam: -> aedit    19: name +# ¦wiêta Góra
Wed Jan 11 19:24:27 2012 : [    9] Karlam: -> aedit    30: builder brohacz
Wed Jan 11 19:24:34 2012 : [    9] Karlam: -> aedit    31: builder brohacz
Wed Jan 11 19:26:02 2012 : [    9] Karlam: -> aedit    42: builder Holvirg
Wed Jan 11 19:26:50 2012 : [    9] Karlam: -> aedit    46: credits
Wed Jan 11 19:27:43 2012 : [    9] Karlam: -> aedit    55: build brohacz
Wed Jan 11 19:29:08 2012 : [    9] Karlam: -> aedit    68: builder Wicia
Wed Jan 11 19:30:12 2012 : [    9] Karlam: -> aedit    77: build Vanion
